,feature,weight
120,kbinsdiscretizer-1__longitude_5.0,7.48318677720103e-05
121,kbinsdiscretizer-1__longitude_12.0,7.426126045073398e-05
122,kbinsdiscretizer-1__latitude_5.0,6.615097652666753e-05
123,countvectorizer__sun,6.53599059257287e-05
124,countvectorizer__luxury,6.349094702386016e-05
125,countvectorizer__living,6.230195137390835e-05
126,countvectorizer__comfy,5.741126714647018e-05
127,countvectorizer__street,5.658572272722582e-05
128,countvectorizer__chic,4.9168793025003495e-05
129,kbinsdiscretizer-1__longitude_14.0,4.556415855906888e-05
130,countvectorizer__sq,4.375861975356579e-05
131,countvectorizer__artist,3.7937892469818486e-05
132,countvectorizer__balcony,3.5643989200053234e-05
133,kbinsdiscretizer-1__longitude_9.0,2.77278992747058e-05
134,kbinsdiscretizer-1__latitude_6.0,0.0
135,countvectorizer__cute,0.0
136,countvectorizer__clean,0.0
137,kbinsdiscretizer-1__latitude_12.0,0.0
138,countvectorizer__ues,0.0
139,countvectorizer__train,0.0
140,kbinsdiscretizer-1__latitude_9.0,0.0
141,countvectorizer__building,0.0
142,onehotencoder__neighbourhood_Bushwick,0.0
143,countvectorizer__sunny bedroom,0.0
144,countvectorizer__stay,0.0
145,onehotencoder__neighbourhood_East Village,0.0
146,countvectorizer__gorgeous,0.0
147,countvectorizer__charming,0.0
148,countvectorizer__stuy,0.0
149,countvectorizer__filled,0.0
150,onehotencoder__neighbourhood_Upper East Side,0.0
151,countvectorizer__sunny room,0.0
152,countvectorizer__heart,0.0
153,countvectorizer__spacious room,0.0
154,countvectorizer__bright,0.0
155,countvectorizer__block,0.0
156,countvectorizer__nice,0.0
157,countvectorizer__amazing,0.0
158,countvectorizer__2br,0.0
159,countvectorizer__cozy bedroom,0.0
160,countvectorizer__cozy private,0.0
161,countvectorizer__oasis,0.0
162,countvectorizer__penthouse,0.0
163,countvectorizer__perfect,0.0
164,countvectorizer__prime,0.0
165,countvectorizer__private bathroom,0.0
166,countvectorizer__private room,0.0
167,countvectorizer__les,0.0
168,countvectorizer__rooftop,0.0
169,countvectorizer__newly,0.0
170,countvectorizer__room near,0.0
171,countvectorizer__room private,0.0
172,countvectorizer__cozy room,0.0
173,countvectorizer__bed stuy,0.0
174,countvectorizer__lovely,0.0
175,kbinsdiscretizer-1__longitude_10.0,0.0
176,countvectorizer__bedroom apt,0.0
177,kbinsdiscretizer-1__longitude_7.0,0.0
178,countvectorizer__master,0.0
179,kbinsdiscretizer-1__longitude_4.0,0.0
180,countvectorizer__space,0.0
181,kbinsdiscretizer-1__longitude_2.0,0.0
182,countvectorizer__bk,0.0
183,countvectorizer__spacious bedroom,0.0
184,countvectorizer__area,0.0
185,countvectorizer__comfortable,0.0
